Fund Name,Date,NAV
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-04-08,399.0007
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-04-09,398.5337
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-04-10,400.2305
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-04-12,397.3855
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-04-15,393.8581
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-04-16,393.1821
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-04-18,392.4768
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-04-19,393.4431
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-04-22,395.0913
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-04-23,396.3527
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-04-24,396.7791
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-04-25,399.0257
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-04-26,398.7506
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-04-29,402.0224
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-04-30,400.9879
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-05-02,402.4193
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-05-03,399.9384
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-05-06,399.593
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-05-07,396.7974
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-05-08,397.788
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-05-09,393.0219
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-05-10,395.5136
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-05-13,396.1873
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-05-14,398.5297
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-05-15,399.328
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-05-16,401.7454
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-05-17,402.793
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-05-21,403.1748
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-05-22,404.3386
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-05-23,407.7727
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-05-24,407.9595
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-05-27,407.7459
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-05-28,406.466
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-05-29,404.2323
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-05-30,402.0876
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-05-31,402.7362
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-06-03,413.5059
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-06-04,392.6427
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-06-05,402.5572
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-06-06,406.353
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-06-07,411.8272
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-06-10,412.3355
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-06-11,412.8623
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-06-12,414.7477
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-06-13,415.8748
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-06-14,417.2137
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-06-18,418.3897
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-06-19,417.2743
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-06-20,418.4989
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-06-21,417.6556
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-06-24,418.7992
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-06-25,420.6734
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-06-26,422.5809
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-06-27,424.6325
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-06-28,423.8363
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-07-01,425.9559
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-07-02,425.9021
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-07-03,428.6015
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-07-04,429.2646
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-07-05,429.5762
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-07-08,429.1481
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-07-09,430.8512
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-07-10,429.1429
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-07-11,429.1622
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-07-12,430.7895
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-07-15,432.2802
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-07-16,432.2074
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-07-18,434.0767
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-07-19,430.2629
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-07-22,431.3762
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-07-23,430.1884
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-07-24,430.7086
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-07-25,431.347
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-07-26,437.4188
