Fund name,Date,NAV
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-07-23,10.4474
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-07-24,10.4003
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-07-25,10.3814
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-07-26,10.4349
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-07-29,10.3964
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-07-30,10.3282
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-07-31,10.3269
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-08-01,10.25
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-08-02,10.2657
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-08-05,10.1691
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-08-06,10.2386
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-08-07,10.1775
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-08-08,10.2634
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-08-09,10.3087
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-08-13,10.1888
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-08-14,10.258
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-08-16,10.2798
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-08-19,10.2939
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-08-20,10.2575
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-08-21,10.2029
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-08-22,10.1062
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-08-23,10.1591
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2019-08-26,10.3068
