Fund Name,Date,NAV
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-05-26,9.26
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-05-27,9.38
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-05-28,9.51
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-05-29,9.56
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-06-01,9.72
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-06-02,9.86
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-06-03,9.9
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-06-04,9.87
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-06-05,9.95
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-06-08,9.96
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-06-09,9.88
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-06-10,9.92
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-06-11,9.82
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-06-12,9.86
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-06-15,9.77
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-06-16,9.85
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-06-17,9.84
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-06-18,9.96
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-06-19,10.06
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-06-22,10.12
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-06-23,10.24
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-06-24,10.1
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-06-25,10.12
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-06-26,10.15
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-06-29,10.1
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-06-30,10.1
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-07-01,10.17
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-07-02,10.23
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-07-03,10.27
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-07-06,10.39
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-07-07,10.49
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-07-08,10.4
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-07-09,10.49
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-07-10,10.49
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-07-13,10.47
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-07-14,10.36
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-07-15,10.35
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-07-16,10.38
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-07-17,10.47
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-07-20,10.57
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-07-21,10.62
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-07-22,10.57
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-07-23,10.66
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-07-24,10.62
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-07-27,10.57
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-07-28,10.68
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-07-29,10.66
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-07-30,10.64
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-07-31,10.64
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-08-03,10.56
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-08-04,10.7
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-08-05,10.71
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-08-06,10.81
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-08-07,10.83
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-08-10,10.88
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-08-11,10.88
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-08-12,10.84
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-08-13,10.85
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-08-14,10.78
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-08-17,10.82
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-08-18,10.93
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-08-19,10.95
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-08-20,10.9
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-08-21,10.91
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-08-24,10.99
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-08-25,11.03
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-08-26,11.07
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-08-27,11.05
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-08-28,11.1
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-08-31,10.88
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-09-01,10.98
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-09-02,11.04
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-09-03,11.04
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-09-04,10.92
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-09-07,10.92
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-09-08,10.88
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-09-09,10.84
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-09-10,10.92
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-09-11,10.94
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-09-14,10.93
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-09-15,11.02
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-09-16,11.07
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-09-17,11.02
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-09-18,11.02
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-09-21,10.82
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-09-22,10.75
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-09-23,10.71
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-09-24,10.51
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-09-25,10.68
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-09-28,10.79
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-09-29,10.8
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-09-30,10.82
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-10-01,10.94
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-10-05,10.99
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-10-06,11.1
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-10-07,11.12
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-10-08,11.18
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-10-09,11.22
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-10-12,11.22
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-10-13,11.2
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-10-14,11.25
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-10-15,11.06
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-10-16,11.12
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-10-19,11.2
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-10-20,11.23
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-10-21,11.23
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-10-22,11.21
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-10-23,11.24
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-10-26,11.18
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-10-27,11.32
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-10-28,11.24
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-10-29,11.23
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-10-30,11.2
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-11-02,11.23
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-11-03,11.31
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-11-04,11.4
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-11-05,11.53
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-11-06,11.62
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-11-09,11.75
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-11-10,11.83
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-11-11,11.93
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-11-12,11.91
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-11-13,11.94
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-11-17,12.07
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-11-18,12.13
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-11-19,12.03
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-11-20,12.17
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-11-23,12.26
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-11-24,12.3
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-11-25,12.15
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-11-26,12.24
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-11-27,12.26
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-12-01,12.34
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-12-02,12.3
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-12-03,12.34
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-12-04,12.4
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-12-07,12.47
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-12-08,12.49
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-12-09,12.57
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-12-10,12.54
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-12-11,12.56
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-12-14,12.59
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-12-15,12.62
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-12-16,12.67
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-12-17,12.73
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-12-18,12.75
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-12-21,12.51
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-12-22,12.55
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-12-23,12.66
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-12-24,12.77
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-12-28,12.84
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-12-29,12.85
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-12-30,12.91
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2020-12-31,12.91
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2021-01-01,12.94
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2021-01-04,13.03
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2021-01-05,13.09
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2021-01-06,13.04
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2021-01-07,13.02
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2021-01-08,13.16
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2021-01-11,13.21
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2021-01-12,13.2
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2021-01-13,13.12
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2021-01-14,13.14
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2021-01-15,13.03
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2021-01-18,12.89
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2021-01-19,13.06
Axis Aggressive Hybrid Fund - Regular Plan - Growth Option,2021-01-20,13.12
