Fund Name,Date,NAV
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-12-20,26.1659
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-12-21,26.159
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-12-22,26.1488
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-12-23,26.1625
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-12-24,26.1707
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-12-27,26.1673
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-12-28,26.1718
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-12-29,26.177
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-12-30,26.1877
BANDHAN Arbitrage Fund - Regular Plan - Growth,2021-12-31,26.1683
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-01-03,26.1774
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-01-04,26.1891
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-01-05,26.1881
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-01-06,26.1889
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-01-07,26.1926
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-01-10,26.1839
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-01-11,26.2028
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-01-12,26.2036
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-01-13,26.2021
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-01-14,26.1961
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-01-17,26.2065
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-01-18,26.2353
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-01-19,26.2093
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-01-20,26.2038
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-01-21,26.2493
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-01-24,26.2572
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-01-25,26.2491
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-01-27,26.2508
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-01-28,26.2605
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-01-31,26.262
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-02-01,26.2582
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-02-02,26.265
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-02-03,26.2853
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-02-04,26.2808
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-02-07,26.2903
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-02-08,26.2812
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-02-09,26.2771
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-02-10,26.2849
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-02-11,26.3199
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-02-14,26.3291
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-02-15,26.3104
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-02-16,26.3258
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-02-17,26.3401
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-02-18,26.3419
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-02-21,26.3398
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-02-22,26.3479
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-02-23,26.3309
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-02-24,26.3668
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-02-25,26.3695
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-02-28,26.368
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-03-02,26.3616
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-03-03,26.3659
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-03-04,26.3726
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-03-07,26.3627
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-03-08,26.3584
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-03-09,26.3521
